Time_Seconds,Best_Fitness
5.92,472616.0
12.22,457629.0
18.59,446912.0
24.91,446418.0
31.19,440623.0
37.32,430582.0
43.44,428097.0
49.64,423319.0
55.87,420179.0
62.06,415167.0
68.19,405526.0
74.29,405526.0
80.49,405256.0
86.64,400524.0
92.8,398547.0
98.95,393614.0
105.05,390517.0
111.26,389799.0
117.43,385850.0
123.57,382663.0
129.75,376114.0
135.89,373053.0
141.94,372229.0
148.08,368270.0
154.19,364104.0
160.28,364104.0
166.46,356764.0
172.5,355130.0
178.66,353161.0
184.81,349844.0
190.95,347270.0
196.97,338471.0
203.11,337383.0
209.23,336993.0
215.33,332539.0
221.51,331633.0
227.56,326649.0
233.68,322778.0
239.79,317312.0
245.94,316195.0
252.06,314472.0
258.2,311850.0
264.28,309713.0
270.42,305593.0
276.51,302038.0
282.7,299963.0
288.88,297737.0
295.12,296356.0
301.51,292756.0
308.21,290942.0
315.09,288791.0
321.56,286071.0
327.85,279703.0
334.11,279703.0
340.32,278605.0
346.55,278288.0
352.78,275509.0
358.87,273262.0
365.18,269818.0
371.37,269535.0
377.65,268270.0
384.13,267993.0
390.41,266055.0
396.57,264455.0
403.18,261991.0
409.32,260169.0
415.47,259127.0
421.61,257651.0
427.68,256137.0
433.82,255009.0
439.93,253772.0
446.07,252094.0
452.13,251507.0
458.15,249455.0
464.28,248821.0
470.34,245764.0
476.43,245764.0
482.55,245053.0
488.62,243893.0
494.71,241547.0
500.83,238528.0
506.86,235689.0
512.93,235689.0
518.98,235689.0
524.98,235198.0
531.07,233419.0
537.13,233373.0
543.27,232118.0
549.3,230226.0
555.37,230112.0
561.46,229325.0
567.48,227946.0
573.49,227071.0
579.51,225436.0
585.59,221629.0
591.71,221629.0
597.76,221513.0
603.8,221513.0
609.89,220517.0
615.96,219322.0
622.05,219322.0
628.14,218133.0
634.17,216984.0
640.25,216529.0
646.34,215813.0
652.45,215684.0
658.5,215340.0
664.59,214560.0
670.59,214268.0
676.55,212832.0
682.63,211583.0
688.7,211066.0
694.81,208802.0
700.99,208802.0
707.04,207168.0
713.14,206887.0
719.18,206368.0
725.18,205128.0
731.24,204100.0
737.32,203268.0
743.51,201065.0
749.63,201065.0
755.68,200331.0
761.78,198500.0
767.75,197924.0
773.79,197721.0
779.76,197111.0
785.8,195642.0
791.82,195642.0
797.83,195148.0
803.88,194352.0
809.93,192243.0
815.91,192128.0
821.97,191401.0
828.09,190884.0
834.11,189787.0
840.22,189535.0
846.33,187897.0
852.37,187284.0
858.43,186783.0
864.52,186006.0
870.55,185341.0
876.61,183338.0
882.72,183338.0
888.72,182078.0
894.78,181534.0
900.87,181534.0
906.95,180439.0
912.95,179942.0
919.03,179319.0
925.02,178440.0
931.06,178440.0
937.11,177699.0
943.19,176776.0
949.16,175958.0
955.17,175902.0
961.43,174587.0
967.5,174225.0
973.54,173287.0
979.71,173287.0
985.81,171745.0
991.95,171334.0
998.06,171334.0
1004.16,170989.0
1010.27,169935.0
1016.3,169935.0
1022.27,169442.0
1028.37,168534.0
1034.34,168358.0
1040.36,167526.0
1046.38,167268.0
1052.43,166856.0
1058.45,166411.0
1064.46,165619.0
1070.44,165190.0
1076.47,164274.0
1082.48,164188.0
1088.58,163463.0
1094.56,162618.0
1100.57,161215.0
1106.6,160009.0
1112.65,159576.0
1118.71,158408.0
1124.76,157308.0
1130.83,155607.0
1136.81,155607.0
1142.82,155607.0
1148.88,154785.0
1154.87,154471.0
1160.84,154231.0
1166.83,153398.0
